"model","Kest","Sensitivity","Precision","F1","cosine_R","rmse_sig","rmse_theta","rmse_Betas","sign_Betas","fp_Betas","rmse_lambda_in","rmse_lambda_out","rmse_counts_in","rmse_counts_out","time","iter","effectiveBetas","effectiveSigs","effectiveTheta","effectiveMu","effectiveSigma2","effectiveLogPost","effectiveLogLik","effectiveLogPrior","Simulation","Scenario","n","J"
"SignatureAnalyzer",8,0.875,0.875,0.875,0.953931513022316,0.00525413045833421,89.5767454491783,0.343905647334347,0,0,0.0963627926769578,0.124004268674518,0.367683437052449,0.415155241697143,1.28631956179937,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Simulation_10","S0_baseline",210216,100
"PPF_map",8,1,1,1,0.997833452327351,0.00126750058705851,19.5344659878283,0.0114904924109366,0.975,0,0.00221478551052286,0.00377554961007333,0.318155039294457,0.346380245382411,8.20979793866475,360,NA,NA,NA,NA,NA,NA,NA,NA,"Simulation_10","S0_baseline",210216,100
"PPF_mcmc",8,1,1,1,0.997775548730231,0.00191728960702185,21.0120597104585,0.0120785727144832,0.975,0,0.00197181564986088,0.00332551906983903,0.318154953492129,0.346382470802982,29.8447688579559,NA,157.91137119446,350.639547238426,457.361685704874,1073.53650565059,1392.97149404133,206.707284395899,150,201.915439214482,"Simulation_10","S0_baseline",210216,100
"CompNMF",7,0.625,0.714285714285714,0.666666666666667,0.953934892353849,0.00647451584511318,205.539789743328,0.511086289999832,0,0,0.478853735122669,0.792086515686191,0.990535008401989,1.53382392308698,0.00977794726689657,4859,NA,NA,NA,NA,NA,NA,NA,NA,"Simulation_11","S0_baseline",497085,100
"SignatureAnalyzer",8,0.875,0.875,0.875,0.963331734690927,0.00490124651309504,117.496726456363,0.511086289999832,0,0,0.478853120935505,0.792081614787716,0.990534319054165,1.53382583343218,2.01868948539098,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Simulation_11","S0_baseline",497085,100
"PPF_map",9,1,0.888888888888889,0.941176470588235,0.987658926697937,0.00895328355691117,378.919451936999,0.261756052404269,1,0,0.00481924168690665,0.0151880761883129,0.496540713139771,0.509281036282952,15.3474838932355,290,NA,NA,NA,NA,NA,NA,NA,NA,"Simulation_11","S0_baseline",497085,100
"PPF_mcmc",8,1,1,1,0.997889959911548,0.0013793963945202,29.3245561117419,0.0106330907615473,1,0,0.00441481824786194,0.0063494683080912,0.496525177555775,0.508802100369605,66.50077359279,NA,201.758942833787,403.274372442752,582.307252418985,1185.46904488703,1464.17540390174,195.804660151739,150,150,"Simulation_11","S0_baseline",497085,100
"CompNMF",7,0.875,1,0.933333333333333,0.975504270964012,0.0059080850955357,131.03196550777,0.337385792538591,0,0,0.104275680183308,0.062590636647317,0.367556942319402,0.307945932984166,0.0103272040685018,3969,NA,NA,NA,NA,NA,NA,NA,NA,"Simulation_12","S0_baseline",202712,100
"SignatureAnalyzer",8,0.875,0.875,0.875,0.968935483269341,0.00993041621051677,113.931829257276,0.337385792538591,0,0,0.10426415018119,0.0627585503371817,0.367555627815051,0.307994811657364,2.04592867294947,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Simulation_12","S0_baseline",202712,100
"PPF_map",8,1,1,1,0.998076632250355,0.00135708625768011,26.0894951373244,0.0128050585181365,0.975,0,0.00257917250070541,0.00197140188620155,0.325117632402809,0.288975669895916,3.94002915620804,180,NA,NA,NA,NA,NA,NA,NA,NA,"Simulation_12","S0_baseline",202712,100
"PPF_mcmc",8,1,1,1,0.998097041655846,0.00149169238944626,24.97022246053,0.0126941515951307,0.975,0,0.00202344599992667,0.00166024446639442,0.325124860468264,0.288972496478286,32.1122930606206,NA,155.392278742037,280.661612017338,426.631288104152,916.823956132857,1476.2457980071,150,150,252.112433990757,"Simulation_12","S0_baseline",202712,100
"CompNMF",7,1,1,1,0.973633060415092,0.00559170607592847,179.904636996526,0.316764041979779,0,0,0.0939765822971269,0.0865406623822817,0.355676667286935,0.346225718115087,0.00957364638646444,6045,NA,NA,NA,NA,NA,NA,NA,NA,"Simulation_13","S0_baseline",192104,100
"SignatureAnalyzer",8,0.875,0.875,0.875,0.971834783821511,0.00409221837936126,92.8377514769748,0.316764041979779,0,0,0.0939733917712214,0.0865518434999158,0.355675713549649,0.346228299660624,1.26820955673854,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Simulation_13","S0_baseline",192104,100
