"model","rmse_counts_in","rmse_counts_out","rmse_Betas","sign_Betas","fp_Betas","attribution_acc_in","attribution_acc_out","estim_error_in","estim_error_out","brier_in","brier_out","ece_in","ece_out","mce_in","mce_out","oracle_l2_in","oracle_l2_out","oracle_kl_in","oracle_kl_out","n_mut_in","n_mut_out","Simulation","Scenario"
"map_Fixed",0.353750971622339,0.314694276852676,0.030577253592802,0.975,0.0555555555555556,0.814747462896697,0.793551065596457,0.063858743473925,0.0713257680597841,0.264082190034931,0.293530214962132,0.00216361491357664,0.00322306286777391,0.0227898533955828,0.047214755786898,0.0185081602231894,0.0220509941609821,0.0458481358892727,0.0552672973078841,170470,36130,"Simulation_19","S1_epigenome_v025"
"map_Fixed",0.328885148407016,0.346439023670608,0.0329657099966671,0.975,0.0777777777777778,0.800714281126149,0.803720270831806,0.0713574553092542,0.068539023734448,0.280316693545308,0.277272877090189,0.00264641544315504,0.00374683143778011,0.00701647038210729,0.0197866414560814,0.0182842730337796,0.0183772142667955,0.0417665044499072,0.0430807285646221,155681,40911,"Simulation_20","S1_epigenome_v025"
"map_Fixed",0.296577484240327,0.301963683995742,0.0753296115115564,0.975,0.0333333333333333,0.766090485495265,0.758862758862759,0.117105065384037,0.121914121914122,0.328079313163613,0.336892307422668,0.00232658334640309,0.00350968139689467,0.193812794158535,0.0288656391087908,0.0419762958102058,0.0434134995550624,0.0918953783162665,0.0945846828196687,133060,34188,"Simulation_01","S2_epigenome_v1"
"map_Fixed",0.304268213363643,0.305034422634175,0.0740620039098486,1,0.0222222222222222,0.763603457191401,0.772143418868144,0.11904410135185,0.115399178632802,0.334208904982854,0.321644504676197,0.00223029121682375,0.0056390388449944,0.0295752722221126,0.0156844810472846,0.0461009993623503,0.0454618407113531,0.104052825932715,0.10355209871738,135370,34333,"Simulation_02","S2_epigenome_v1"
"map_Fixed",0.480545957240107,0.51753113242682,0.0898465252876114,0.975,0.0111111111111111,0.826778667384797,0.832603754524792,0.0887236268345987,0.0878651401633134,0.246003719940789,0.237587249312068,0.00116639774391754,0.00144452754030711,0.0105385485620578,0.0403080112180826,0.0361163450569204,0.0360156129286757,0.081097408998128,0.080803599862672,193094,47516,"Simulation_03","S2_epigenome_v1"
"map_Fixed",1.01188994768109,0.448484773075493,0.088799942752771,1,0.0888888888888889,0.827533297336213,0.797574070391728,0.0942359611231102,0.109688804931398,0.247991047644664,0.288318638652388,0.00126482699141145,0.00361501130665687,0.197366833442484,0.0137115754312503,0.0447763762027747,0.0512643596343689,0.0953803564188465,0.110056330133563,222240,40232,"Simulation_04","S2_epigenome_v1"
"map_Fixed",0.351652457475989,0.351532733862249,0.0795014347906825,1,0.0333333333333333,0.773784496481997,0.771166779931104,0.119192864347255,0.118294940594755,0.319344758742492,0.322745549288638,0.00279636455417493,0.00259367306270924,0.191162766559475,0.0622027118371767,0.0475361374217343,0.0478508634282563,0.102533832428194,0.102697342901033,164582,42673,"Simulation_05","S2_epigenome_v1"
"map_Fixed",0.441443214814157,0.384307126195644,0.085931586950648,0.95,0.0777777777777778,0.785453009889351,0.787256835390646,0.107698628729906,0.109634066174859,0.302093533114324,0.299141427783232,0.00253569206301651,0.00597458911800868,0.192240277147288,0.818916213767206,0.0424338996915317,0.0414824117122472,0.0929443888145867,0.0911141528716765,175239,41073,"Simulation_06","S2_epigenome_v1"
"map_Fixed",0.35003728427393,0.359717551873966,0.0869525950705863,1,0.0111111111111111,0.788734884602027,0.793401432429259,0.120121238910113,0.1169425854174,0.29902263964466,0.295973012261472,0.00367274336561361,0.00500637654277474,0.191737962908675,0.187996628393334,0.0554854227122991,0.0552191031942591,0.115512315537174,0.114586687799761,158365,42585,"Simulation_07","S2_epigenome_v1"
"map_Fixed",0.955460285454219,0.623134054779251,0.0973473636553993,0.95,0.0333333333333333,0.830717651615402,0.822552011649014,0.0940959558467547,0.0979394809805916,0.241039956485559,0.254351323058466,0.00227344387448384,0.00287312669063255,0.1902631732898,0.0365622461139596,0.0471594541218708,0.0497729996539239,0.102708618209405,0.109013581056147,247864,50133,"Simulation_08","S2_epigenome_v1"
"map_Fixed",0.314569729071981,0.297959157819398,0.0800809331141113,1,0.0444444444444444,0.786790317602622,0.782524574816664,0.0980732205581929,0.102012794507724,0.299389093207745,0.306042604045044,0.00327934480890257,0.00553995929015941,0.0196560380204301,0.0349020436343795,0.0340872602088724,0.0363125223081435,0.0796575767773233,0.0846334556409065,136082,32045,"Simulation_09","S2_epigenome_v1"
"map_Fixed",0.399905080996019,0.362036124125912,0.0903657716700123,1,0.0111111111111111,0.792718342942558,0.782143551838164,0.115711082639334,0.121693250340401,0.292419867737956,0.306055038893331,0.00289048332630125,0.00348692833553808,0.0100395930481497,0.0198377769886552,0.0504867393821623,0.0521859463733454,0.106733699053515,0.111162784415919,187320,41128,"Simulation_10","S2_epigenome_v1"
"map_Fixed",0.330633771102939,0.396933233129249,0.0827639159232437,1,0.0333333333333333,0.782578536650437,0.806898483281627,0.107550190088708,0.0920803171320234,0.306246671045907,0.273593396539554,0.00501455379016486,0.00538018869746576,0.194384048647419,0.0266225925618546,0.039285107864255,0.0335968089133544,0.087711624922747,0.0777892291222582,149930,46416,"Simulation_11","S2_epigenome_v1"
"map_Fixed",0.363921076044329,0.328099849293153,0.0794515114474281,0.975,0.0333333333333333,0.813383292434533,0.803044745227267,0.085185365412823,0.0909066151038972,0.262501549064019,0.277616378838186,0.00176363581074379,0.0029801083881536,0.190376997884052,0.0388612287118129,0.0290963144038156,0.0317684485908202,0.0712377480674769,0.0791511621812703,143851,36719,"Simulation_12","S2_epigenome_v1"
"map_Fixed",0.346622653820279,0.340793561341956,0.0800494101431889,1,0.0444444444444444,0.787691783364676,0.775309917355372,0.113728067773092,0.123106060606061,0.299780770780798,0.314091993286218,0.00197238425927688,0.00363076473583517,0.0245776710734375,0.0122085138044321,0.0473560088769113,0.050547215916324,0.10082495748397,0.107738397279963,164313,40656,"Simulation_13","S2_epigenome_v1"
"map_Fixed",0.632548581177564,0.445011731505329,0.0770890281320562,0.975,0.0666666666666667,0.79624376406143,0.781556143804158,0.114522616245951,0.12491232833322,0.291718964156482,0.312449938278572,0.00762657736169299,0.00824962404234725,0.198675953525653,0.0509202665533665,0.057936239589521,0.0622085681159716,0.11977418246749,0.129253073816626,173791,44199,"Simulation_14","S2_epigenome_v1"
"map_Fixed",0.320863744983684,0.372934214786713,0.071607083802451,1,0.0111111111111111,0.772689374682257,0.791595827781096,0.111364175563464,0.103708128474935,0.320979748981555,0.296668216713778,0.00309864888488236,0.00252736704028397,0.187368433730307,0.0197487944250802,0.0427572585892442,0.0404133692122806,0.0923250881825373,0.0869338807182323,147525,43526,"Simulation_15","S2_epigenome_v1"
"map_Fixed",0.288541244301624,0.279109081592607,0.0703168780472431,1,0.0555555555555556,0.763859711018811,0.767598483822932,0.115937264461087,0.108569107892243,0.330713253625042,0.328045348860924,0.00414951422538757,0.00570453483592819,0.192747433514034,0.0610060616512121,0.0403027731722602,0.0393423463645314,0.0908535870538047,0.0914727603795442,124714,29548,"Simulation_16","S2_epigenome_v1"
